Plant Group,Plant Number,Sampling Day ,Height (cm),Shoot weight (g),Root weight (g),Grain weight,Total biomass(g),chlorophyll content(fv/fm),Flowering?,R/S Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,9,40,57.7,1.291,0.45,,1.741,0.78,Y,0.348567002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,10,40,59.2,1.097,0.459,,1.556,0.79,N,0.418413856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,11,40,59.4,0.724,0.274,,0.998,0.82,Y,0.378453039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,12,40,58.6,0.981,0.379,,1.36,0.82,Y,0.386340469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,13,40,62.3,,,,,0.77,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,14,50,67.5,1.524,0.277,,1.801,0.80,Y,0.18175853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,15,50,70.5,1.518,0.45,,1.968,0.81,Y,0.296442688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,16,50,68.0,1.694,0.32,,2.014,0.77,Y,0.188902007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,17,50,34.5,0.476,0.08,,0.556,0.82,N,0.168067227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,18,50,66.2,1.802,0.55,,2.352,0.79,Y,0.305216426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,19,50,65.3,1.53,0.354,,1.884,0.82,Y,0.231372549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,20,50,61.2,0.738,0.167,,0.905,0.81,Y,0.226287263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,21,50,70.0,1.622,0.388,,2.01,0.82,Y,0.239210851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,22,50,64.6,1.787,0.196,,1.983,0.81,Y,0.10968103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,23,50,65.3,1.982,0.344,,2.326,0.63,Y,0.173562059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,24,50,70.5,2.09,0.484,,2.574,0.53,Y,0.231578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,25,50,68.5,1.647,0.362,,2.009,0.80,Y,0.219793564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,26,50,74.2,,,,,0.82,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,27,60,66,1.19,0.395,1.029,2.614,0.77,Y,0.331932773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,28,60,60.5,1.674,0.427,1.497,3.598,0.62,Y,0.255077658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,29,60,67.5,1.696,0.431,0.354,2.481,0.79,Y,0.254127358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,30,60,66,1.943,0.393,1.394,3.73,0.77,Y,0.202264539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,31,60,72.5,1.916,0.443,1.082,3.441,0.74,Y,0.231210856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,32,60,74.5,1.24,0.346,1.33,2.916,0.78,Y,0.279032258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+M-E,33,60,68,1.465,0.378,1.003,2.846,0.78,Y,0.258020478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
